"LocID" "SeriesID" "LocName" "DataCatalogID" "DataCatalogName" "DataSourceName" "TimeStart" "ChildAgeCriteriaMet" "FemAgeCriteriaMet"
28 31513101151 "Antigua and Barbuda" 2274 "Antigua and Barbuda 1960 Census" "Demographic Yearbook" "07/04/1960" TRUE TRUE
28 90171382167 "Antigua and Barbuda" 2277 "Antigua and Barbuda 2001 Census" "Demographic Yearbook" "28/05/2001" TRUE TRUE
28 117992295629 "Antigua and Barbuda" 4732 "Antigua and Barbuda 2011 Census" "CELADE 2020" "27/05/2011" TRUE TRUE
28 4923215926189 "Antigua and Barbuda" 395 "Antigua and Barbuda 1991 Census" "1991 census" "29/05/1991" TRUE TRUE
28 6211810623195 "Antigua and Barbuda" 2275 "Antigua and Barbuda 1970 Census" "Demographic Yearbook" "07/04/1970" FALSE NA
28 25312919713990 "Antigua and Barbuda" 2277 "Antigua and Barbuda 2001 Census" "Demographic Yearbook" "28/05/2001" NA NA
28 157222203192175 "Antigua and Barbuda" 4732 "Antigua and Barbuda 2011 Census" "Demographic Yearbook" "27/05/2011" NA NA
32 18983413242 "Argentina" 1433 "Argentina 1960 Census" "Demographic Yearbook" "30/09/1960" TRUE TRUE
32 27403421434 "Argentina" 1433 "Argentina 1960 Census" "Mortality in Developing Countries" "01/10/1960" TRUE TRUE
32 31198175986 "Argentina" 1433 "Argentina 1960 Census" "Mortality in developing countries" "01/09/1960" FALSE TRUE
32 87208575130 "Argentina" 99 "Argentina 2001 Census" "Demographic Yearbook" "18/11/2001" TRUE TRUE
32 159145635252 "Argentina" 1308 "Argentina 1991 Census" "Demographic Yearbook" "15/05/1991" TRUE TRUE
32 1491861688122 "Argentina" 1481 "Argentina 1970 Census" "Mortality in developing countries" "01/09/1970" FALSE TRUE
32 1624917923418 "Argentina" 4763 "Argentina 2010 Census" "Demographic Yearbook" "27/10/2010" TRUE TRUE
32 2342503768252 "Argentina" 1505 "Argentina 1980 Census" "IPUMS International custom tabulations" "23/10/1980" TRUE TRUE
32 2481427210146 "Argentina" 1308 "Argentina 1991 Census" "IPUMS International custom tabulations" "16/05/1991" TRUE TRUE
32 4924138241137 "Argentina" 99 "Argentina 2001 Census" "IPUMS International custom tabulations" "19/11/2001" TRUE TRUE
32 13111059100181 "Argentina" 1481 "Argentina 1970 Census" "Mortality in Developing Countries" "01/10/1970" TRUE TRUE
32 13222169189221 "Argentina" 1481 "Argentina 1970 Census" "Demographic Yearbook" "30/09/1970" TRUE TRUE
32 135184106105234 "Argentina" 4763 "Argentina 2010 Census" "IPUMS International custom tabulations" "27/10/2010" TRUE TRUE
32 159235125252165 "Argentina" 1505 "Argentina 1980 Census" "Demographic Yearbook" "22/10/1980" TRUE TRUE
32 236198239170147 "Argentina" 1481 "Argentina 1970 Census" "IPUMS International custom tabulations" "01/10/1970" TRUE TRUE
44 341368742142 "Bahamas" 4734 "Bahamas 2010 Census" "Demographic Yearbook" "05/03/2010" TRUE TRUE
44 1271283522194 "Bahamas" 938 "Bahamas 1980 Census" "Demographic Yearbook" "12/05/1980" TRUE TRUE
44 2071721769186 "Bahamas" 1500 "Bahamas 1970 Census" "Demographic Yearbook" "07/04/1970" TRUE TRUE
44 2078514913037 "Bahamas" 4734 "Bahamas 2010 Census" "Demographic Yearbook" "03/05/2010" TRUE TRUE
44 10164169182208 "Bahamas" 415 "Bahamas 2000 Census" "Demographic Yearbook" "01/05/2000" TRUE TRUE
44 23498242212122 "Bahamas" 1010 "Bahamas 1990 Census" "Demographic Yearbook" "01/05/1990" TRUE TRUE
52 37148961785 "Barbados" 4735 "Barbados 2010 Census" "Demographic Yearbook" "01/05/2010" NA NA
52 76831039739 "Barbados" 1049 "Barbados 1980 Census" "Demographic Yearbook" "12/05/1980" FALSE TRUE
52 240203483010 "Barbados" 1418 "Barbados 1990 Census" "CELADE" "03/05/1990" TRUE TRUE
52 911371211331 "Barbados" 95 "Barbados 1970 Census" "Mortality in Developing Countries" "08/04/1970" TRUE TRUE
52 9017021051131 "Barbados" 95 "Barbados 1970 Census" "Mortality in developing countries" "01/04/1970" FALSE TRUE
52 12724547236162 "Barbados" 1653 "Barbados 1960 Census" "Demographic Yearbook" "07/04/1960" TRUE TRUE
52 21315796214206 "Barbados" 95 "Barbados 1970 Census" "Demographic Yearbook" "07/04/1970" TRUE TRUE
52 22366252176245 "Barbados" 399 "Barbados 2000 Census" "Demographic Yearbook" "01/05/2000" TRUE TRUE
52 234204109243104 "Barbados" 4735 "Barbados 2010 Census" "2010 POPULATION AND HOUSING CENSUS" "09/05/2010" TRUE TRUE
68 6226520547 "Bolivia (Plurinational State of)" 944 "Bolivia 1992 Census" "Demographic Yearbook" "03/06/1992" TRUE TRUE
